,team,shots_on_target_per90,shots_on_target_pct,goals_per_shot_on_target,into_penalty_area,pct_touches_att_pen_area,xg_per90,average_shot_distance,clearances,blocked_passes,blocked_shots,dribble_tackles_pct,tackles_interceptions,errors,miscontrols,passes_pct_short,passes_pct_medium,passes_pct_long,passes_total_distance,aerials_won_pct,dispossessed
0,Argentina,0.007462962962962963,0.21675,0.11,0.1557017543859649,0.07883489735067968,0.053758741258741256,0.27673462088698136,0.13963963963963966,0.24305555555555555,0.08333333333333333,0.3717916666666667,0.20833333333333334,0.0,0.19642857142857142,0.9132083333333334,0.844875,0.47170833333333334,0.19994130526537934,0.43129166666666663,0.140625
1,Australia,0.005277777777777779,0.1702,0.1125,0.04473684210526315,0.09865645686335697,0.029370629370629377,0.23476394849785404,0.14054054054054055,0.18333333333333332,0.14285714285714285,0.38105,0.13999999999999999,0.05,0.14523809523809522,0.7626000000000001,0.6956,0.40875000000000006,0.08898781259892372,0.3374,0.075
2,Belgium,0.0083,0.13425,0.025,0.05263157894736842,0.15664606888682367,0.09055944055944055,0.18530042918454936,0.07972972972972973,0.10416666666666666,0.05714285714285714,0.43740000000000007,0.09285714285714285,0.016666666666666666,0.11190476190476191,0.8644000000000001,0.8349499999999999,0.5176000000000001,0.12023979107312441,0.38275000000000003,0.05
3,Brazil,0.015478632478632478,0.2565769230769231,0.0673076923076923,0.13360323886639675,0.15562260328370467,0.09023668639053255,0.2779795311984153,0.06548856548856549,0.16025641025641027,0.05494505494505494,0.4205384615384616,0.14065934065934066,0.01282051282051282,0.16117216117216115,0.861,0.8260769230769232,0.5361153846153847,0.1376652786909197,0.3655,0.09294871794871794
4,Cameroon,0.014454545454545454,0.38181818181818183,0.09863636363636363,0.03349282296650718,0.11208620957466545,0.031786395422759066,0.20776433866562624,0.08722358722358724,0.0606060606060606,0.03896103896103896,0.24695454545454545,0.1064935064935065,0.01515151515151515,0.0844155844155844,0.8466363636363637,0.8036363636363636,0.5453181818181818,0.06414213358657804,0.5041363636363636,0.045454545454545456
5,Canada,0.0020935672514619886,0.06794736842105263,0.05263157894736842,0.09972299168975068,0.09835512138266375,0.0375414059624586,0.22340185227016038,0.05832147937411095,0.09210526315789473,0.03759398496240601,0.337,0.0887218045112782,0.03508771929824561,0.13032581453634084,0.8909473684210527,0.8500526315789474,0.5302105263157895,0.09190116792455973,0.33421052631578946,0.06578947368421052
6,Costa Rica,0.003818181818181818,0.16668181818181818,0.06818181818181818,0.021531100478468897,0.03731349844020488,0.013827082008900192,0.15050721810378462,0.10196560196560198,0.10606060606060605,0.09090909090909091,0.49604545454545457,0.12727272727272726,0.01515151515151515,0.09307359307359307,0.8837272727272727,0.7488181818181818,0.3594090909090909,0.055066332844110624,0.4719090909090909,0.058712121212121215
7,Croatia,0.0076613756613756615,0.24947619047619046,0.19047619047619047,0.20300751879699247,0.12732188602374933,0.045621045621045624,0.3422235847128551,0.18404118404118405,0.19444444444444442,0.19047619047619047,0.4141904761904762,0.25170068027210885,0.0,0.24036281179138322,0.8567619047619048,0.7403333333333334,0.48233333333333334,0.23555902259605963,0.4213809523809524,0.1388888888888889
8,Denmark,0.006966666666666667,0.1658,0.05,0.08157894736842106,0.12446077122645557,0.03706293706293707,0.22435622317596565,0.06621621621621622,0.1125,0.11428571428571428,0.23570000000000002,0.09285714285714286,0.0,0.11904761904761904,0.8705,0.86875,0.46109999999999995,0.11374248179803734,0.4828,0.05208333333333333
9,Ecuador,0.06291358024691358,0.28933333333333333,0.09277777777777778,0.07894736842105263,0.07006292718914581,0.030497280497280496,0.23152122079160703,0.06306306306306306,0.12962962962962962,0.031746031746031744,0.2176111111111111,0.11587301587301585,0.018518518518518517,0.17195767195767198,0.8365,0.7697222222222222,0.3476666666666667,0.0876068376068376,0.42888888888888893,0.05787037037037038
